run,gen_len,OGF,stall,tail_len,TP@512,TP@1024,latency_sec,success_ogf1,success_ogf2,success_ogf4,reward,validity,eos_pen,ppl
0,5474,1.33642578125,0,0,0,0,219.68508219718933,1,0,0,-0.3339615582467473,1.0,5.0,1.0
1,48,0.01171875,0,0,0,0,1.679075002670288,0,0,0,-0.7862402201524177,1.0,5.0,42.708333333333336
2,34,0.00830078125,0,0,0,0,1.204972743988037,0,0,0,-0.7869391191743081,1.0,5.0,42.64705882352941
3,142,0.03466796875,0,0,0,0,4.990186452865601,0,0,0,-0.6868086178800051,1.0,5.0,5.633802816901408
4,4938,1.20556640625,0,0,0,0,184.3229296207428,1,0,0,-0.36340491762174726,1.0,5.0,1.0
5,4735,1.156005859375,0,0,0,0,175.49173951148987,1,0,0,-0.37455604066862225,1.0,5.0,1.0
6,4970,1.21337890625,0,0,0,0,185.30296158790588,1,0,0,-0.36164710512174725,1.0,5.0,1.0
7,4910,1.19873046875,0,0,0,0,183.25153493881226,1,0,0,-0.36494300355924725,1.0,5.0,1.0
8,4357,1.063720703125,0,0,0,0,159.56263947486877,1,0,0,-0.3953202008248723,1.0,5.0,1.0
9,4773,1.165283203125,0,0,0,0,176.6244330406189,1,0,0,-0.3787462023613375,1.0,5.0,1.2675466163838258
10,253,0.061767578125,0,0,0,0,8.897836923599243,0,0,0,-0.7584980452333558,1.0,5.0,30.434782608695652
11,4801,1.172119140625,0,0,0,0,178.5696997642517,1,0,0,-0.37093055238737227,1.0,5.0,1.0
12,4693,1.145751953125,0,0,0,0,174.74489378929138,1,0,0,-0.37686316957487226,1.0,5.0,1.0
13,4672,1.140625,0,0,0,0,176.15592575073242,1,0,0,-0.3780167340279973,1.0,5.0,1.0
14,5157,1.259033203125,0,0,0,0,196.02110815048218,1,0,0,-0.3513748883248723,1.0,5.0,1.0
15,8758,2.13818359375,0,0,0,0,379.305721282959,1,1,0,-0.13048151237307618,1.0,5.0,1.3473395752454898
16,4349,1.061767578125,0,0,0,0,161.4871528148651,1,0,0,-0.3957596539498723,1.0,5.0,1.0
17,134,0.03271484375,0,0,0,0,4.84299111366272,0,0,0,-0.7603303663389839,1.0,5.0,27.611940298507463
18,4955,1.209716796875,0,0,0,0,186.92004418373108,1,0,0,-0.3663294084161097,1.0,5.0,1.160443995963673
19,4915,1.199951171875,0,0,0,0,183.0311577320099,1,0,0,-0.36466834535612225,1.0,5.0,1.0
20,5184,1.265625,0,0,0,0,194.56431794166565,1,0,0,-0.4201759652428222,1.0,5.0,7.156635802469136
21,5867,1.432373046875,0,0,0,0,226.0055193901062,1,0,0,-0.33806871981830133,1.0,5.0,2.343616839952275
22,4648,1.134765625,0,0,0,0,172.06792950630188,1,0,0,-0.47672732307829446,1.0,5.0,13.02710843373494
23,5065,1.236572265625,0,0,0,0,189.35081458091736,1,0,0,-0.35876693810710364,1.0,5.0,1.0957551826258638
24,4760,1.162109375,0,0,0,0,176.8393590450287,1,0,0,-0.37618925886445254,1.0,5.0,1.1239495798319328
25,122,0.02978515625,0,0,0,0,4.3326311111450195,0,0,0,-0.7674485388653404,1.0,5.0,31.557377049180324
26,4913,1.199462890625,0,0,0,0,183.17028141021729,1,0,0,-0.36477820863737226,1.0,5.0,1.0
27,5274,1.28759765625,0,0,0,0,199.03238558769226,1,0,0,-0.3449478863717473,1.0,5.0,1.0
28,47,0.011474609375,0,0,0,0,1.689002275466919,0,0,0,-0.7836130830737321,1.0,5.0,40.42553191489362
29,4788,1.1689453125,0,0,0,0,177.53955936431885,1,0,0,-0.37164466371549726,1.0,5.0,1.0
30,4239,1.034912109375,0,0,0,0,154.7106523513794,1,0,0,-0.4355158726437685,1.0,5.0,2.9252182118424157
31,4736,1.15625,0,0,0,0,175.7651867866516,1,0,0,-0.3906612529432921,1.0,5.0,1.7630912162162162
32,5317,1.298095703125,0,0,0,0,200.73584818840027,1,0,0,-0.378746134640744,1.0,5.0,3.1220613127703594
33,6308,1.5400390625,0,0,0,0,246.64762592315674,1,0,0,-0.28814856996549726,1.0,5.0,1.0
34,8781,2.143798828125,0,0,0,0,377.79784750938416,1,1,0,-0.12396447395160157,1.0,5.0,1.167293019018335
35,16384,4.0,1,0,0,0,927.1478126049042,1,1,1,0.8338241333949294,1.0,0.0,26.7578125
36,5287,1.290771484375,0,0,0,0,200.5209219455719,1,0,0,-0.35786152468882154,1.0,5.0,1.6266313599394742
37,4891,1.194091796875,0,0,0,0,183.0908944606781,1,0,0,-0.36598670473112227,1.0,5.0,1.0
38,453,0.110595703125,0,0,0,0,16.230703353881836,0,0,0,-0.7472054552594153,1.0,5.0,30.24282560706402
39,4929,1.203369140625,0,0,0,0,184.49458837509155,1,0,0,-0.3638993023873723,1.0,5.0,1.0
40,5001,1.220947265625,0,0,0,0,187.07837057113647,1,0,0,-0.35994422426237227,1.0,5.0,1.0
41,180,0.0439453125,0,0,0,0,6.4238104820251465,0,0,0,-0.7609074811400925,1.0,5.0,29.444444444444443
42,5029,1.227783203125,0,0,0,0,188.36126565933228,1,0,0,-0.3584061383248723,1.0,5.0,1.0
43,4929,1.203369140625,0,0,0,0,184.55993604660034,1,0,0,-0.3638993023873723,1.0,5.0,1.0
44,57,0.013916015625,0,0,0,0,2.0641491413116455,0,0,0,-0.7819014960013352,1.0,5.0,39.473684210526315
45,4711,1.150146484375,0,0,0,0,176.08237504959106,1,0,0,-0.4220189848039718,1.0,5.0,4.033113988537465
46,5214,1.27294921875,0,0,0,0,196.12468695640564,1,0,0,-0.3482437848092473,1.0,5.0,1.0
47,5140,1.2548828125,0,0,0,0,193.73739981651306,1,0,0,-0.35230872621549725,1.0,5.0,1.0
48,95,0.023193359375,0,0,0,0,3.3332574367523193,0,0,0,-0.7771432317827359,1.0,5.0,37.36842105263158
49,221,0.053955078125,0,0,0,0,7.8839287757873535,0,0,0,-0.7611398319261994,1.0,5.0,30.995475113122172
50,178,0.04345703125,0,0,0,0,6.379240989685059,0,0,0,-0.7429804928572186,1.0,5.0,20.224719101123593
51,413,0.100830078125,0,0,0,0,14.830084085464478,0,0,0,-0.7016291365531955,1.0,5.0,11.016949152542374
52,4949,1.208251953125,0,0,0,0,185.4470248222351,1,0,0,-0.3628006695748723,1.0,5.0,1.0
53,4924,1.2021484375,0,0,0,0,183.84384155273438,1,0,0,-0.3641739605904973,1.0,5.0,1.0
54,394,0.09619140625,0,0,0,0,14.24451756477356,0,0,0,-0.7441077486597811,1.0,5.0,26.522842639593907
55,585,0.142822265625,0,0,0,0,21.059489488601685,0,0,0,-0.7359934445137656,1.0,5.0,27.863247863247864
56,3082,0.75244140625,0,0,0,0,110.78617453575134,0,0,0,-0.4653580426217473,1.0,5.0,1.0
57,4812,1.1748046875,0,0,0,0,179.62164306640625,1,0,0,-0.3703263043404973,1.0,5.0,1.0
58,4824,1.177734375,0,0,0,0,180.00710272789001,1,0,0,-0.3696671246529973,1.0,5.0,1.0
59,4930,1.20361328125,0,0,0,0,184.72268557548523,1,0,0,-0.36384437074674725,1.0,5.0,1.0
60,5,0.001220703125,0,0,0,0,0.18468832969665527,0,0,0,-0.7963166234330913,1.0,5.0,50.0
61,4705,1.148681640625,0,0,0,0,174.94310235977173,1,0,0,-0.37620398988737225,1.0,5.0,1.0
62,4814,1.17529296875,0,0,0,0,179.6759762763977,1,0,0,-0.3702164410592473,1.0,5.0,1.0
