prompt_key,row_type,trial,gen_len,total_len,success,saw_eos,cap_hit,OGF,stall,over_ctx_no_eos,TP@512,TP@1024,tail_len,latency_sec,model,summary_avg_gen_len,summary_max_gen_len,summary_success_rate,run_seed,chunk_index,num_chunks,torch_version,transformers_version
d68d8163c7e9debac27597074eafb37a,TRIAL,24,2412,2455,0,0,0,0.5889,0,0,0,0,0,55.6978,deepseek-ai/deepseek-coder-7b-base-v1.5,,,,3689597947,9,15,2.9.1+cu128,4.57.3
d68d8163c7e9debac27597074eafb37a,TRIAL,25,1832,1875,0,0,0,0.4473,0,0,0,0,0,41.5926,deepseek-ai/deepseek-coder-7b-base-v1.5,,,,3689597948,9,15,2.9.1+cu128,4.57.3
d68d8163c7e9debac27597074eafb37a,TRIAL,26,1,44,0,0,0,0.0002,0,0,0,0,0,0.0256,deepseek-ai/deepseek-coder-7b-base-v1.5,,,,3689597949,9,15,2.9.1+cu128,4.57.3
d68d8163c7e9debac27597074eafb37a,TRIAL,27,1361,1404,0,0,0,0.3323,0,0,0,0,0,30.5112,deepseek-ai/deepseek-coder-7b-base-v1.5,,,,3689597950,9,15,2.9.1+cu128,4.57.3
d68d8163c7e9debac27597074eafb37a,TRIAL,28,2985,3028,0,0,0,0.7288,0,0,0,0,0,70.1878,deepseek-ai/deepseek-coder-7b-base-v1.5,,,,3689597951,9,15,2.9.1+cu128,4.57.3
d68d8163c7e9debac27597074eafb37a,TRIAL,29,472,515,0,0,0,0.1152,0,0,0,0,0,10.3176,deepseek-ai/deepseek-coder-7b-base-v1.5,,,,3689597952,9,15,2.9.1+cu128,4.57.3
d68d8163c7e9debac27597074eafb37a,TRIAL,30,757,800,0,0,0,0.1848,0,0,0,0,0,16.6814,deepseek-ai/deepseek-coder-7b-base-v1.5,,,,3689597953,9,15,2.9.1+cu128,4.57.3
d68d8163c7e9debac27597074eafb37a,TRIAL,31,157,200,0,0,0,0.0383,0,0,0,0,0,3.3985,deepseek-ai/deepseek-coder-7b-base-v1.5,,,,3689597954,9,15,2.9.1+cu128,4.57.3
d68d8163c7e9debac27597074eafb37a,TRIAL,32,1549,1592,0,0,0,0.3782,0,0,0,0,0,34.9145,deepseek-ai/deepseek-coder-7b-base-v1.5,,,,3689597955,9,15,2.9.1+cu128,4.57.3
d68d8163c7e9debac27597074eafb37a,TRIAL,33,4400,4443,1,0,0,1.0742,0,1,0,0,0,108.5590,deepseek-ai/deepseek-coder-7b-base-v1.5,,,,3689597956,9,15,2.9.1+cu128,4.57.3
d68d8163c7e9debac27597074eafb37a,TRIAL,34,3976,4019,0,0,0,0.9707,0,0,0,0,0,96.6183,deepseek-ai/deepseek-coder-7b-base-v1.5,,,,3689597957,9,15,2.9.1+cu128,4.57.3
d68d8163c7e9debac27597074eafb37a,SUMMARY,,,,,,,,,,,,,,deepseek-ai/deepseek-coder-7b-base-v1.5,1185.65,4400,0.0588,,9,15,2.9.1+cu128,4.57.3
59b1a2915192111d779dd4600c89c990,TRIAL,1,97,144,0,0,0,0.0237,0,0,0,0,0,2.0978,deepseek-ai/deepseek-coder-7b-base-v1.5,,,,1594813714,9,15,2.9.1+cu128,4.57.3
59b1a2915192111d779dd4600c89c990,TRIAL,2,936,983,0,0,0,0.2285,0,0,0,0,0,20.7413,deepseek-ai/deepseek-coder-7b-base-v1.5,,,,1594813715,9,15,2.9.1+cu128,4.57.3
