prompt_key,row_type,trial,gen_len,total_len,success,saw_eos,cap_hit,OGF,stall,over_ctx_no_eos,TP@512,TP@1024,tail_len,latency_sec,model,summary_avg_gen_len,summary_max_gen_len,summary_success_rate,run_seed,chunk_index,num_chunks,torch_version,transformers_version
37aa673170dfbdacfa2ce043db92f5c5,TRIAL,1,653,693,0,1,0,0.1594,0,0,0,0,0,9.4857,microsoft/Phi-3-mini-4k-instruct,,,,993914418,6,15,2.9.1+cu128,4.57.3
37aa673170dfbdacfa2ce043db92f5c5,TRIAL,2,331,371,0,0,0,0.0808,0,0,0,0,0,4.5944,microsoft/Phi-3-mini-4k-instruct,,,,993914419,6,15,2.9.1+cu128,4.57.3
37aa673170dfbdacfa2ce043db92f5c5,TRIAL,3,848,888,0,1,0,0.2070,0,0,0,0,0,12.0182,microsoft/Phi-3-mini-4k-instruct,,,,993914420,6,15,2.9.1+cu128,4.57.3
37aa673170dfbdacfa2ce043db92f5c5,TRIAL,4,383,423,0,1,0,0.0935,0,0,0,0,0,5.3280,microsoft/Phi-3-mini-4k-instruct,,,,993914421,6,15,2.9.1+cu128,4.57.3
37aa673170dfbdacfa2ce043db92f5c5,TRIAL,5,517,557,0,0,0,0.1262,0,0,0,0,0,7.2265,microsoft/Phi-3-mini-4k-instruct,,,,993914422,6,15,2.9.1+cu128,4.57.3
37aa673170dfbdacfa2ce043db92f5c5,TRIAL,6,1063,1103,0,1,0,0.2595,0,0,0,0,0,15.1788,microsoft/Phi-3-mini-4k-instruct,,,,993914423,6,15,2.9.1+cu128,4.57.3
37aa673170dfbdacfa2ce043db92f5c5,TRIAL,7,359,399,0,0,0,0.0876,0,0,0,0,0,4.9910,microsoft/Phi-3-mini-4k-instruct,,,,993914424,6,15,2.9.1+cu128,4.57.3
37aa673170dfbdacfa2ce043db92f5c5,TRIAL,8,1815,1855,0,1,0,0.4431,0,0,0,0,0,26.5609,microsoft/Phi-3-mini-4k-instruct,,,,993914425,6,15,2.9.1+cu128,4.57.3
37aa673170dfbdacfa2ce043db92f5c5,TRIAL,9,441,481,0,0,0,0.1077,0,0,0,0,0,6.1445,microsoft/Phi-3-mini-4k-instruct,,,,993914426,6,15,2.9.1+cu128,4.57.3
37aa673170dfbdacfa2ce043db92f5c5,TRIAL,10,1415,1455,0,1,0,0.3455,0,0,0,0,0,20.4420,microsoft/Phi-3-mini-4k-instruct,,,,993914427,6,15,2.9.1+cu128,4.57.3
37aa673170dfbdacfa2ce043db92f5c5,TRIAL,11,458,498,0,1,0,0.1118,0,0,0,0,0,6.3843,microsoft/Phi-3-mini-4k-instruct,,,,993914428,6,15,2.9.1+cu128,4.57.3
37aa673170dfbdacfa2ce043db92f5c5,TRIAL,12,361,401,0,1,0,0.0881,0,0,0,0,0,5.0122,microsoft/Phi-3-mini-4k-instruct,,,,993914429,6,15,2.9.1+cu128,4.57.3
37aa673170dfbdacfa2ce043db92f5c5,TRIAL,13,499,539,0,1,0,0.1218,0,0,0,0,0,6.9688,microsoft/Phi-3-mini-4k-instruct,,,,993914430,6,15,2.9.1+cu128,4.57.3
37aa673170dfbdacfa2ce043db92f5c5,TRIAL,14,515,555,0,0,0,0.1257,0,0,0,0,0,7.1994,microsoft/Phi-3-mini-4k-instruct,,,,993914431,6,15,2.9.1+cu128,4.57.3
37aa673170dfbdacfa2ce043db92f5c5,TRIAL,15,307,347,0,1,0,0.0750,0,0,0,0,0,4.2544,microsoft/Phi-3-mini-4k-instruct,,,,993914432,6,15,2.9.1+cu128,4.57.3
37aa673170dfbdacfa2ce043db92f5c5,TRIAL,16,406,446,0,1,0,0.0991,0,0,0,0,0,5.6481,microsoft/Phi-3-mini-4k-instruct,,,,993914433,6,15,2.9.1+cu128,4.57.3
37aa673170dfbdacfa2ce043db92f5c5,TRIAL,17,2677,2717,0,1,0,0.6536,0,0,0,0,0,43.2683,microsoft/Phi-3-mini-4k-instruct,,,,993914434,6,15,2.9.1+cu128,4.57.3
37aa673170dfbdacfa2ce043db92f5c5,TRIAL,18,824,864,0,0,0,0.2012,0,0,0,0,0,11.6635,microsoft/Phi-3-mini-4k-instruct,,,,993914435,6,15,2.9.1+cu128,4.57.3
37aa673170dfbdacfa2ce043db92f5c5,TRIAL,19,557,597,0,1,0,0.1360,0,0,0,0,0,7.8003,microsoft/Phi-3-mini-4k-instruct,,,,993914436,6,15,2.9.1+cu128,4.57.3
37aa673170dfbdacfa2ce043db92f5c5,TRIAL,20,549,589,0,1,0,0.1340,0,0,0,0,0,7.6858,microsoft/Phi-3-mini-4k-instruct,,,,993914437,6,15,2.9.1+cu128,4.57.3
37aa673170dfbdacfa2ce043db92f5c5,TRIAL,21,1107,1147,0,1,0,0.2703,0,0,0,0,0,15.8207,microsoft/Phi-3-mini-4k-instruct,,,,993914438,6,15,2.9.1+cu128,4.57.3
37aa673170dfbdacfa2ce043db92f5c5,TRIAL,22,4633,4673,1,1,0,1.1311,0,0,0,0,0,83.2789,microsoft/Phi-3-mini-4k-instruct,,,,993914439,6,15,2.9.1+cu128,4.57.3
37aa673170dfbdacfa2ce043db92f5c5,TRIAL,23,272,312,0,1,0,0.0664,0,0,0,0,0,3.7657,microsoft/Phi-3-mini-4k-instruct,,,,993914440,6,15,2.9.1+cu128,4.57.3
37aa673170dfbdacfa2ce043db92f5c5,TRIAL,24,2551,2591,0,1,0,0.6228,0,0,0,0,0,40.7330,microsoft/Phi-3-mini-4k-instruct,,,,993914441,6,15,2.9.1+cu128,4.57.3
37aa673170dfbdacfa2ce043db92f5c5,TRIAL,25,2728,2768,0,1,0,0.6660,0,0,0,0,0,44.2107,microsoft/Phi-3-mini-4k-instruct,,,,993914442,6,15,2.9.1+cu128,4.57.3
37aa673170dfbdacfa2ce043db92f5c5,TRIAL,26,145,185,0,1,0,0.0354,0,0,0,0,0,1.9946,microsoft/Phi-3-mini-4k-instruct,,,,993914443,6,15,2.9.1+cu128,4.57.3
