Prompt source,#Prompts,Avg. OGF,Succ. @≥1,Succ. @≥2,Succ. @≥3,Succ. @≥4
EOGen,863,0.47±0.68,17.4%,4.5%,1.2%,0.7%
EOGen-suffix,863,0.58±0.60,25.4%,3.2%,0.2%,0.1%
Repeat-style,25,0.32±0.45,11.5%,0.9%,0.1%,0.1%
Inf. babble,30,0.40±0.53,12.2%,2.1%,0.5%,0.3%
Random short,100,0.42±0.67,14.0%,4.6%,0.9%,0.7%
WizardLM,100,0.23±0.31,4.7%,0.2%,0.0%,0.0%
