Prompt source,Median lat. (s),Mean lat. (s),P95 lat. (s),Max lat. (s)
EOGen,17.03,53.19,221.14,652.68
EOGen-suffix,32.67,62.54,184.50,653.31
Repeat-style,11.93,33.36,128.67,649.11
Inf. babble,17.94,42.39,147.69,648.05
Random short,12.52,47.16,226.76,650.15
WizardLM,10.28,22.33,97.93,412.81
