Prompt source,Median lat. (s),Mean lat. (s),P95 lat. (s),Max lat. (s)
EOGen,78.17,108.45,329.86,332.66
EOGen-suffix,23.57,55.27,218.28,333.82
Repeat-style,21.09,37.72,137.04,323.28
Inf. babble,49.28,70.42,200.49,329.59
Random short,14.03,36.12,160.47,332.40
WizardLM,9.27,17.89,63.70,331.52
