Prompt source,#Prompts,Avg. OGF,Succ. @≥1,Succ. @≥2,Succ. @≥3,Succ. @≥4
EOGen,871,1.39±1.14,52.1%,25.2%,12.4%,6.8%
EOGen-suffix,871,0.74±0.85,25.3%,8.2%,3.0%,1.7%
Repeat-style,25,0.54±0.60,14.0%,3.8%,1.3%,0.4%
Inf. babble,30,0.96±0.74,33.3%,9.4%,2.5%,0.5%
Random short,100,0.51±0.72,13.9%,5.2%,2.4%,1.3%
WizardLM,100,0.27±0.37,4.0%,1.0%,0.2%,0.1%
