run,base_seed,chunk_index,num_chunks,ckpt,victim_model,goal,max_steps,temp,top_p,top_k,gate_alpha,reward_mode,context_window,torch_version,transformers_version,gen_len,OGF,stall,tail_len,TP@512,TP@1024,latency_sec,success_ogf1,success_ogf2,success_ogf4,reward,validity,eos_pen,ppl
603,42,9,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,468,0.1142578125,0,0,0,0,15.907166481018066,0,0,0,-0.7262119281811448,1.0,5.0,19.871794871794872
604,42,9,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,5078,1.23974609375,0,0,0,0,132.5539653301239,1,0,0,-0.35571448793424726,1.0,5.0,1.0
605,42,9,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,16384,4.0,1,0,0,0,652.2870764732361,1,1,1,0.9653182328680276,1.0,0.0,1.0009765625
606,42,9,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,1193,0.291259765625,0,0,0,0,27.235143184661865,0,0,0,-0.6235984146895835,1.0,5.0,4.945515507124895
607,42,9,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,3268,0.7978515625,0,0,0,0,79.60021638870239,0,0,0,-0.5409589529431216,1.0,5.0,10.128518971848225
608,42,9,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,4694,1.14599609375,0,0,0,0,120.47440695762634,1,0,0,-0.3768082379342473,1.0,5.0,1.0
609,42,9,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,5190,1.26708984375,0,0,0,0,135.98105430603027,1,0,0,-0.34956214418424725,1.0,5.0,1.0
610,42,9,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,5094,1.24365234375,0,0,0,0,132.91940808296204,1,0,0,-0.3548355816842473,1.0,5.0,1.0
611,42,9,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,4958,1.21044921875,0,0,0,0,128.62876772880554,1,0,0,-0.36230628480924726,1.0,5.0,1.0
612,42,9,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,5065,1.236572265625,0,0,0,0,131.9945888519287,1,0,0,-0.35642859926237225,1.0,5.0,1.0
613,42,9,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,16384,4.0,1,0,0,0,648.3912770748138,1,1,1,0.964336595128833,1.0,0.0,1.0406494140625
614,42,9,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,3875,0.946044921875,0,0,0,0,96.40635132789612,0,0,0,-0.5326696910960645,1.0,5.0,17.36774193548387
615,42,9,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,4964,1.2119140625,0,0,0,0,128.81972408294678,1,0,0,-0.3619766949654973,1.0,5.0,1.0
