run,base_seed,chunk_index,num_chunks,ckpt,victim_model,goal,max_steps,temp,top_p,top_k,gate_alpha,reward_mode,context_window,torch_version,transformers_version,gen_len,OGF,stall,tail_len,TP@512,TP@1024,latency_sec,success_ogf1,success_ogf2,success_ogf4,reward,validity,eos_pen,ppl
0,42,0,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-chat-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,289,0.070556640625,0,0,0,0,45.251142263412476,0,0,0,-0.7260493294807846,1.0,5.0,16.089965397923876
1,42,0,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-chat-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,601,0.146728515625,0,0,0,0,13.58005404472351,0,0,0,-0.7060555498556789,1.0,5.0,15.141430948419302
2,42,0,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-chat-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,126,0.03076171875,0,0,0,0,2.8120319843292236,0,0,0,-0.764392466584209,1.0,5.0,29.761904761904763
3,42,0,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-chat-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,294,0.07177734375,0,0,0,0,6.5802624225616455,0,0,0,-0.7046640048261952,1.0,5.0,10.204081632653061
4,42,0,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-chat-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,312,0.076171875,0,0,0,0,6.988098621368408,0,0,0,-0.6708204930646722,1.0,5.0,4.8076923076923075
5,42,0,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-chat-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,197,0.048095703125,0,0,0,0,4.405493259429932,0,0,0,-0.7565175813045436,1.0,5.0,27.411167512690355
6,42,0,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-chat-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,4287,1.046630859375,0,0,0,0,108.84445929527283,1,0,0,-0.3991654156686223,1.0,5.0,1.0
7,42,0,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-chat-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,510,0.12451171875,0,0,0,0,11.488183736801147,0,0,0,-0.7037272031351958,1.0,5.0,12.941176470588236
8,42,0,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-chat-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,429,0.104736328125,0,0,0,0,9.635110139846802,0,0,0,-0.6661193305195413,1.0,5.0,5.011655011655011
9,42,0,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-chat-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,109,0.026611328125,0,0,0,0,2.4258522987365723,0,0,0,-0.7710404692386267,1.0,5.0,33.48623853211009
10,42,0,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-chat-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,174,0.04248046875,0,0,0,0,3.893580675125122,0,0,0,-0.7628773740505548,1.0,5.0,30.459770114942526
11,42,0,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-chat-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,383,0.093505859375,0,0,0,0,8.58692455291748,0,0,0,-0.7036074264524251,1.0,5.0,11.096605744125327
12,42,0,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-chat-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,355,0.086669921875,0,0,0,0,7.9588963985443115,0,0,0,-0.6920529657186435,1.0,5.0,8.309859154929578
13,42,0,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-chat-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,14,0.00341796875,0,0,0,0,0.3160574436187744,0,0,0,-0.7921921980243087,1.0,5.0,46.42857142857143
14,42,0,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-chat-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,49,0.011962890625,0,0,0,0,1.096219778060913,0,0,0,-0.769985576724687,1.0,5.0,30.612244897959183
15,42,0,15,len8000plus_ep62944_env0_len16377_ep62944.pt,meta-llama/Llama-2-7b-chat-hf,16384,64,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,559,0.136474609375,0,0,0,0,12.602083206176758,0,0,0,-0.7104568370832083,1.0,5.0,15.831842576028624
